accuracy,precision,recall,f1,specificity,roc_auc,model_name,sampling_strategy,weight_strategy,training_time,optimal_accuracy,optimal_precision,optimal_recall,optimal_f1,optimal_specificity,optimal_threshold
0.7710625,0.6365914786967418,0.3018060836501901,0.4094792842173142,0.9385176390773405,0.7447345400116596,LogisticRegression,None,none,3.4618589878082275,0.679875,0.4314431443144314,0.6834600760456274,0.5289681809821593,0.67859565807327,0.24570964564260528
0.703625,0.45387007601935037,0.624287072243346,0.525610244097639,0.7319369063772049,0.7434340353194278,LogisticRegression,None,balanced,1.769113302230835,0.70075,0.45084745762711864,0.6321292775665399,0.5263157894736842,0.7252374491180461,0.4943108193318305
0.7083125,0.4578357523424582,0.5922053231939164,0.5164231685835665,0.7497455902306649,0.7380118868047423,LogisticRegression,SMOTE,none,14.855009078979492,0.6601875,0.41382695274155096,0.7012832699619772,0.5205044536555252,0.6455223880597015,0.4065337357360969
0.566875,0.3591680463576159,0.8248574144486692,0.5004325259515571,0.4748134328358209,0.7377929057722965,LogisticRegression,SMOTE,balanced,14.147242069244385,0.668875,0.4205539358600583,0.6855988593155894,0.5213227322009396,0.6629070556309362,0.6487615750530659
0.698375,0.4466321243523316,0.6145437262357415,0.5173034606921384,0.7282903663500678,0.736076224262373,LogisticRegression,ADASYN,none,37.19266986846924,0.685125,0.43437697659709046,0.6528041825095057,0.5216483099126472,0.6966587516960652,0.47036274902261704
0.546125,0.349467665615142,0.8424429657794676,0.4940078037904125,0.4403833107191316,0.7368688364477303,LogisticRegression,ADASYN,balanced,39.3311231136322,0.6734375,0.4244540187193582,0.6789448669201521,0.5223512204040589,0.6714721845318861,0.6769957603646953
0.737,0.0,0.0,0.0,1.0,0.707534134519891,RandomForest,None,none,12.857750177383423,0.6135625,0.3785810893889094,0.7317015209125475,0.49898711611700836,0.57140434192673,0.2551262871689367
0.6814375,0.42012578616352203,0.5556083650190115,0.47846106620280365,0.7263398914518318,0.702276725601168,RandomForest,None,balanced,12.677353143692017,0.6550625,0.40197397936294305,0.6387832699619772,0.49343735658558974,0.6608717774762551,0.49317012214699885
0.7081875,0.4318249038745933,0.34695817490494296,0.38476742653841084,0.8370929443690638,0.6749604842620635,RandomForest,SMOTE,none,29.045602083206177,0.6140625,0.37135382603008504,0.6746673003802282,0.47903484349953596,0.5924355495251018,0.4351649310296745
0.263,0.263,1.0,0.4164687252573238,0.0,0.6707326449168348,RandomForest,SMOTE,balanced,29.157617807388306,0.6185625,0.3715602548461434,0.6513783269961977,0.4731981009926629,0.6068521031207599,0.6713931626311315
0.70075,0.4222520107238606,0.374287072243346,0.3968253968253968,0.8172489823609227,0.6722717091499812,RandomForest,ADASYN,none,55.373226165771484,0.6013125,0.36490354698195393,0.6967680608365019,0.47896757330719597,0.5672489823609227,0.439200633687158
0.263,0.263,1.0,0.4164687252573238,0.0,0.667528057221884,RandomForest,ADASYN,balanced,54.548869132995605,0.603375,0.36319426670079347,0.6744296577946768,0.47213442022957913,0.5780189959294437,0.6750945722789811
